Cultivar	Vcmax25	Jmax25	kd	Ki	Slop_mean	Intercept_mean	   
Mbundumali	100.1195	169.4142	0.002557	0.001731	0.054975	0.079	   
TME3	101.8347	165.3897	0.001699	0.001871	0.063575	0.087025	   
TME419	107.8104	167.6338	0.003394	0.002213	0.0532	0.0784	   
TME693	110.2926	171.2956	0.001111	0.001697	0.064975	0.071975	   
TME7	104.82	163.4499	0.00297	0.002023	0.057975	0.07045	   
TMS01/1412	106.2836	175.8837	0.003535	0.003057	0.0624	0.0723	   
TMS30001	117.1563	169.6727	0.003566	0.0018	0.06425	0.047275	   
TMS30572	95.24062	154.4959	0.000975	0.001526	0.066325	0.068925	   
TMS96/1632	102.6516	163.2362	0.002881	0.001907	0.0548	0.110475	   
TMS98/0002	91.74367	149.0677	0.003854	0.001572	0.049975	0.096075	   
TMS98/0581	99.33415	148.6945	0.003488	0.00206	0.072925	0.06835	 
