Time(h)	Light  
0	50	   
0.0167	50	   
0.0334	50	   
0.0501	50	   
0.0668	50	   
0.0835	1500	   
0.1002	1500	   
0.1169	1500	   
0.1336	1500	   
0.1503	1500	   
0.167	1500	   
0.1837	1500	   
0.2004	1500	   
0.2171	1500	   
0.2338	1500	   
0.2505	50	   
0.2672	50	   
0.2839	50	   
0.3006	50	   
0.3173	50	   
0.334	50	   
0.3507	50	   
0.3674	50	   
0.3841	50	   
0.4008	50	   
0.4175	50	   
0.4342	50	   
0.4509	50	   
0.4676	50	   
0.4843	50	   
0.501	50	   
0.5177	50	   
0.5344	50	   
0.5511	50	   
0.5678	50	   
0.5845	50	   
0.6012	50	   
0.6179	50	   
0.6346	50	   
0.6513	50	   
0.668	50	   
0.6847	50	   
0.7014	50	   
0.7181	50	   
0.7348	50	   
0.7515	1500	   
0.7682	1500	   
0.7849	1500	   
0.8016	1500	   
0.8183	1500	   
0.835	1500	   
0.8517	1500	   
0.8684	1500	   
0.8851	1500	   
0.9018	1500	   
0.9185	50	   
0.9352	50	   
0.9519	50	   
0.9686	50	   
0.9853	50	   
1.002	50	   
1.0187	50	   
1.0354	50	   
1.0521	50	   
1.0688	50	   
1.0855	50	   
1.1022	50	   
1.1189	50	   
1.1356	50	   
1.1523	50	   
1.169	50	   
1.1857	50	   
1.2024	50	   
1.2191	50	   
1.2358	50	   
1.2525	50	   
1.2692	50	   
1.2859	50	   
1.3026	50	   
1.3193	50	   
1.336	50	   
1.3527	50	   
1.3694	50	   
1.3861	50	   
1.4028	50	   
1.4195	50	   
1.4362	50	   
1.4529	50	   
1.4696	50	   
1.4863	50	   
1.503	50	   
1.5197	50	   
1.5364	50	   
1.5531	50	   
1.5698	50	   
1.5865	50	   
1.6032	50	   
1.6199	50	   
1.6366	50	   
1.6533	50	   
1.67	50	   
1.6867	50	   
1.7034	50	   
1.7201	50	   
1.7368	50	   
1.7535	50	   
1.7702	50	   
1.7869	50	   
1.8036	50	   
1.8203	50	   
1.837	50	   
1.8537	50	   
1.8704	50	   
1.8871	50	   
1.9038	50	   
1.9205	50	   
1.9372	50	   
1.9539	50	   
1.9706	50	   
1.9873	50	   
2.004	50	   
2.0207	50	   
2.0374	50	   
2.0541	50	   
2.0708	50	   
2.0875	50	   
2.1042	50	   
2.1209	50	   
2.1376	50	   
2.1543	50	   
2.171	50	   
2.1877	50	   
2.2044	50	   
2.2211	50	   
2.2378	50	    
2.2545	50	   
2.2712	50	   
2.2879	50	   
2.3046	50	   
2.3213	50	   
2.338	50	   
2.3547	50	   
2.3714	50	   
2.3881	50	   
2.4048	50	   
2.4215	50	   
2.4382	50	   
2.4549	50	   
2.4716	50	   
2.4883	50	   
2.505	50	   
2.5217	50	   
2.5384	50	   
2.5551	50	   
2.5718	50	   
2.5885	50	   
2.6052	50	   
2.6219	50	   
2.6386	50	   
2.6553	50	   
2.672	50	   
2.6887	50	   
2.7054	50	   
2.7221	50	   
2.7388	50	   
2.7555	50	   
2.7722	50	   
2.7889	50	   
2.8056	50	   
2.8223	50	   
2.839	50	   
2.8557	50	   
2.8724	50	   
2.8891	50	   
2.9058	50	   
2.9225	50	   
2.9392	50	   
2.9559	50	   
2.9726	50	   
2.9893	50	   
3.006	50	   
3.0227	50	   
3.0394	50	   
3.0561	50	   
3.0728	50	   
3.0895	50	   
3.1062	50	   
3.1229	50	   
3.1396	50	   
3.1563	50	   
3.173	50	   
3.1897	50	   
3.2064	50	   
3.2231	50	   
3.2398	50	   
3.2565	50	   
3.2732	50	   
3.2899	50	   
3.3066	50	   
3.3233	50	   
3.34	50	   
3.3567	50	   
3.3734	50	   
3.3901	50	   
3.4068	50	   
3.4235	1500	   
3.4402	1500	   
3.4569	1500	   
3.4736	1500	   
3.4903	1500	   
3.507	1500	   
3.5237	1500	   
3.5404	1500	   
3.5571	1500	   
3.5738	1500	   
3.5905	50	   
3.6072	50	   
3.6239	50	   
3.6406	50	   
3.6573	50	   
3.674	50	   
3.6907	50	   
3.7074	50	   
3.7241	50	   
3.7408	50	   
3.7575	50	   
3.7742	50	   
3.7909	50	   
3.8076	50	   
3.8243	50	   
3.841	50	   
3.8577	50	   
3.8744	50	   
3.8911	50	   
3.9078	50	   
3.9245	50	   
3.9412	50	   
3.9579	50	   
3.9746	50	   
3.9913	50	   
4.008	50	   
4.0247	50	   
4.0414	50	   
4.0581	50	   
4.0748	50	   
4.0915	1500	   
4.1082	1500	   
4.1249	1500	   
4.1416	1500	   
4.1583	1500	   
4.175	1500	   
4.1917	1500	   
4.2084	1500	   
4.2251	1500	   
4.2418	1500	   
4.2585	50	   
4.2752	50	   
4.2919	50	   
4.3086	50	   
4.3253	50	   
4.342	50	   
4.3587	50	   
4.3754	50	   
4.3921	50	   
4.4088	50	   
4.4255	50	   
4.4422	50	   
4.4589	50	   
4.4756	50	   
4.4923	50	   
4.509	50	   
4.5257	50	   
4.5424	50	   
4.5591	50	   
4.5758	50	   
4.5925	50	   
4.6092	50	   
4.6259	50	   
4.6426	50	   
4.6593	50	   
4.676	50	   
4.6927	50	   
4.7094	50	   
4.7261	50	   
4.7428	50	   
4.7595	1500	   
4.7762	1500	   
4.7929	1500	   
4.8096	1500	   
4.8263	1500	   
4.843	1500	   
4.8597	1500	   
4.8764	1500	   
4.8931	1500	   
4.9098	1500	   
4.9265	50	   
4.9432	50	   
4.9599	50	   
4.9766	50	   
4.9933	50	   
5.01	50	   
5.0267	50	   
5.0434	50	   
5.0601	50	   
5.0768	50	   
5.0935	50	   
5.1102	50	   
5.1269	50	   
5.1436	50	   
5.1603	50	   
5.177	50	   
5.1937	50	   
5.2104	50	   
5.2271	50	   
5.2438	50	   
5.2605	50	   
5.2772	50	   
5.2939	50	   
5.3106	50	   
5.3273	50	   
5.344	50	   
5.3607	50	   
5.3774	50	   
5.3941	50	   
5.4108	50	   
5.4275	1500	   
5.4442	1500	   
5.4609	1500	   
5.4776	1500	   
5.4943	1500	   
5.511	1500	   
5.5277	1500	   
5.5444	1500	   
5.5611	1500	   
5.5778	1500	   
5.5945	50	   
5.6112	50	   
5.6279	50	   
5.6446	50	   
5.6613	50	   
5.678	50	   
5.6947	50	   
5.7114	50	   
5.7281	50	   
5.7448	50	   
5.7615	50	   
5.7782	50	   
5.7949	50	   
5.8116	50	   
5.8283	50	   
5.845	50	   
5.8617	50	   
5.8784	50	   
5.8951	50	   
5.9118	50	   
5.9285	50	   
5.9452	50	   
5.9619	50	   
5.9786	50	   
5.9953	50	   
6.012	50	   
6.0287	50	   
6.0454	50	   
6.0621	50	   
6.0788	50	   
6.0955	1500	   
6.1122	1500	   
6.1289	1500	   
6.1456	1500	   
6.1623	1500	   
6.179	1500	   
6.1957	1500	   
6.2124	1500	   
6.2291	1500	   
6.2458	1500	   
6.2625	50	   
6.2792	50	   
6.2959	50	   
6.3126	50	   
6.3293	50	   
6.346	50	   
6.3627	50	   
6.3794	50	   
6.3961	50	   
6.4128	50	   
6.4295	50	   
6.4462	50	   
6.4629	50	   
6.4796	50	   
6.4963	50	   
6.513	50	   
6.5297	50	   
6.5464	50	   
6.5631	50	   
6.5798	50	   
6.5965	50	   
6.6132	50	   
6.6299	50	   
6.6466	50	   
6.6633	50	   
6.68	50	   
6.6967	50	   
6.7134	50	   
6.7301	50	   
6.7468	50	   
6.7635	1500	   
6.7802	1500	   
6.7969	1500	   
6.8136	1500	   
6.8303	1500	   
6.847	1500	   
6.8637	1500	   
6.8804	1500	   
6.8971	1500	   
6.9138	1500	   
6.9305	50	   
6.9472	50	   
6.9639	50	   
6.9806	50	   
6.9973	50	   
7.014	50	   
7.0307	50	   
7.0474	50	   
7.0641	50	   
7.0808	50	   
7.0975	50	   
7.1142	50	   
7.1309	50	   
7.1476	50	   
7.1643	50	   
7.181	50	   
7.1977	50	   
7.2144	50	   
7.2311	50	   
7.2478	50	   
7.2645	50	   
7.2812	50	   
7.2979	50	   
7.3146	50	   
7.3313	50	   
7.348	50	   
7.3647	50	   
7.3814	50	   
7.3981	50	   
7.4148	50	   
7.4315	1500	   
7.4482	1500	   
7.4649	1500	   
7.4816	1500	   
7.4983	1500	   
7.515	1500	   
7.5317	1500	   
7.5484	1500	   
7.5651	1500	   
7.5818	1500	   
7.5985	50	   
7.6152	50	   
7.6319	50	   
7.6486	50	   
7.6653	50	   
7.682	50	   
7.6987	50	   
7.7154	50	   
7.7321	50	   
7.7488	50	   
7.7655	50	   
7.7822	50	   
7.7989	50	   
7.8156	50	   
7.8323	50	   
7.849	50	   
7.8657	50	   
7.8824	50	   
7.8991	50	   
